serial,pnum,t_start,eptime,whatdoing,WhereWhen
11011202,1,2014-12-11T03:00:00Z,110,0,11
11011202,1,2014-12-11T04:50:00Z,10,8,11
11011202,1,2014-12-11T05:00:00Z,10,0,11
11011202,1,2014-12-11T05:10:00Z,10,3,11
11011202,1,2014-12-11T05:20:00Z,10,3,11
11011202,1,2014-12-11T05:30:00Z,10,7,11
11011202,1,2014-12-11T05:40:00Z,10,0,11
11011202,1,2014-12-11T05:50:00Z,10,3,11
11011202,1,2014-12-11T06:00:00Z,30,0,11
11011202,1,2014-12-11T06:30:00Z,10,3,11
11011202,1,2014-12-11T06:40:00Z,10,3,11
11011202,1,2014-12-11T06:50:00Z,30,3,11
11011202,1,2014-12-11T07:20:00Z,10,3,11
11011202,1,2014-12-11T07:30:00Z,30,3,11
11011202,1,2014-12-11T08:00:00Z,10,7,11
11011202,1,2014-12-11T08:10:00Z,10,5,11
11011202,1,2014-12-11T08:20:00Z,40,5,11
11011202,1,2014-12-11T09:00:00Z,10,7,11
11011202,1,2014-12-11T09:10:00Z,50,7,11
11011202,1,2014-12-11T10:00:00Z,10,3,11
11011202,1,2014-12-11T10:10:00Z,10,5,11
11011202,1,2014-12-11T10:20:00Z,10,5,11
11011202,1,2014-12-11T10:30:00Z,10,8,11
11011202,1,2014-12-11T10:40:00Z,80,8,11
11011202,1,2014-12-11T12:00:00Z,10,0,11
11011202,1,2014-12-11T12:10:00Z,50,0,11
11011202,1,2014-12-11T13:00:00Z,60,9,34
11011202,1,2014-12-11T14:00:00Z,60,3,19
11011202,1,2014-12-11T15:00:00Z,10,3,11
11011202,1,2014-12-11T15:10:00Z,10,3,11
11011202,1,2014-12-11T15:20:00Z,20,3,11
11011202,1,2014-12-11T15:40:00Z,20,3,11
11011202,1,2014-12-11T16:00:00Z,50,7,11
11011202,1,2014-12-11T16:50:00Z,10,7,11
11011202,1,2014-12-11T17:00:00Z,10,0,11
11011202,1,2014-12-11T17:10:00Z,40,0,11
11011202,1,2014-12-11T17:50:00Z,10,8,11
11011202,1,2014-12-11T18:00:00Z,10,8,11
11011202,1,2014-12-11T18:10:00Z,50,8,11
11011202,1,2014-12-11T19:00:00Z,10,3,11
11011202,1,2014-12-11T19:10:00Z,40,3,11
11011202,1,2014-12-11T19:50:00Z,10,5,11
11011202,1,2014-12-11T20:00:00Z,10,7,11
11011202,1,2014-12-11T20:10:00Z,50,7,11
11011202,1,2014-12-11T21:00:00Z,100,5,11
11011202,1,2014-12-11T22:40:00Z,80,7,11
11011202,1,2014-12-11T00:00:00Z,180,0,11
11011202,1,2014-12-14T03:00:00Z,150,0,11
11011202,1,2014-12-14T05:30:00Z,10,0,11
11011202,1,2014-12-14T05:40:00Z,10,0,11
11011202,1,2014-12-14T05:50:00Z,10,3,11
11011202,1,2014-12-14T06:00:00Z,20,3,11
11011202,1,2014-12-14T06:20:00Z,10,0,11
11011202,1,2014-12-14T06:30:00Z,30,0,11
11011202,1,2014-12-14T07:00:00Z,20,3,11
11011202,1,2014-12-14T07:20:00Z,40,7,11
11011202,1,2014-12-14T08:00:00Z,20,3,11
11011202,1,2014-12-14T08:20:00Z,40,3,11
11011202,1,2014-12-14T09:00:00Z,10,0,11
11011202,1,2014-12-14T09:10:00Z,10,5,11
11011202,1,2014-12-14T09:20:00Z,20,3,11
11011202,1,2014-12-14T09:40:00Z,30,5,11
11011202,1,2014-12-14T10:10:00Z,40,5,11
11011202,1,2014-12-14T10:50:00Z,10,9,36
11011202,1,2014-12-14T11:00:00Z,10,3,19
11011202,1,2014-12-14T11:10:00Z,50,3,19
11011202,1,2014-12-14T12:00:00Z,10,3,19
11011202,1,2014-12-14T12:10:00Z,50,0,15
11011202,1,2014-12-14T13:00:00Z,20,3,19
11011202,1,2014-12-14T13:20:00Z,20,9,34
11011202,1,2014-12-14T13:40:00Z,30,3,11
11011202,1,2014-12-14T14:10:00Z,50,3,11
11011202,1,2014-12-14T15:00:00Z,60,3,11
11011202,1,2014-12-14T16:00:00Z,10,3,11
11011202,1,2014-12-14T16:10:00Z,50,5,11
11011202,1,2014-12-14T17:00:00Z,20,3,11
11011202,1,2014-12-14T17:20:00Z,30,0,11
11011202,1,2014-12-14T17:50:00Z,10,0,11
11011202,1,2014-12-14T18:00:00Z,10,3,11
11011202,1,2014-12-14T18:10:00Z,50,3,11
11011202,1,2014-12-14T19:00:00Z,30,3,11
11011202,1,2014-12-14T19:30:00Z,90,8,11
11011202,1,2014-12-14T21:00:00Z,10,0,11
11011202,1,2014-12-14T21:10:00Z,20,0,11
11011202,1,2014-12-14T21:30:00Z,10,0,11
11011202,1,2014-12-14T21:40:00Z,20,0,11
11011202,1,2014-12-14T22:00:00Z,120,0,11
11011202,1,2014-12-14T00:00:00Z,180,0,11
11011202,4,2014-12-11T03:00:00Z,190,0,11
11011202,4,2014-12-11T06:10:00Z,10,0,11
11011202,4,2014-12-11T06:20:00Z,10,0,11
11011202,4,2014-12-11T06:30:00Z,10,0,11
11011202,4,2014-12-11T06:40:00Z,10,0,11
11011202,4,2014-12-11T06:50:00Z,10,9,31
11011202,4,2014-12-11T07:00:00Z,10,9,48
11011202,4,2014-12-11T07:10:00Z,50,9,42
11011202,4,2014-12-11T08:00:00Z,120,2,13
11011202,4,2014-12-11T10:00:00Z,20,2,13
11011202,4,2014-12-11T10:20:00Z,60,2,13
11011202,4,2014-12-11T11:20:00Z,60,2,13
11011202,4,2014-12-11T12:20:00Z,70,0,13
11011202,4,2014-12-11T13:30:00Z,60,2,13
11011202,4,2014-12-11T14:30:00Z,80,9,42
11011202,4,2014-12-11T15:50:00Z,10,9,90
11011202,4,2014-12-11T16:00:00Z,10,7,11
11011202,4,2014-12-11T16:10:00Z,70,7,11
11011202,4,2014-12-11T17:20:00Z,40,2,11
11011202,4,2014-12-11T18:00:00Z,10,0,11
11011202,4,2014-12-11T18:10:00Z,20,0,11
11011202,4,2014-12-11T18:30:00Z,10,8,11
11011202,4,2014-12-11T18:40:00Z,40,8,11
11011202,4,2014-12-11T19:20:00Z,10,8,11
11011202,4,2014-12-11T19:30:00Z,10,3,11
11011202,4,2014-12-11T19:40:00Z,10,0,11
11011202,4,2014-12-11T19:50:00Z,40,2,11
11011202,4,2014-12-11T20:30:00Z,10,0,11
11011202,4,2014-12-11T20:40:00Z,20,8,11
11011202,4,2014-12-11T21:00:00Z,10,0,11
11011202,4,2014-12-11T21:10:00Z,350,0,11
11011202,4,2014-12-14T03:00:00Z,300,0,11
11011202,4,2014-12-14T08:00:00Z,30,0,11
11011202,4,2014-12-14T08:30:00Z,10,3,11
11011202,4,2014-12-14T08:40:00Z,20,7,11
11011202,4,2014-12-14T09:00:00Z,30,7,11
11011202,4,2014-12-14T09:30:00Z,30,7,11
11011202,4,2014-12-14T10:00:00Z,30,8,11
11011202,4,2014-12-14T10:30:00Z,20,8,11
11011202,4,2014-12-14T10:50:00Z,30,8,11
11011202,4,2014-12-14T11:20:00Z,20,8,11
